Afar|aa|aar
Abkhazian|ab|abk
Afrikaans|af|afr
Akan|ak|aka
Albanian|sq|alb
Amharic|am|amh
EnglishOld||ang
Angika||anp
ApacheLanguages||apa
Arabic|ar|ara
OfficialAramaic||arc
Aragonese|an|arg
Armenian|hy|arm
Mapudungun||arn
Arapaho||arp
ArtificialLanguages||art
Arawak||arw
Assamese|as|asm
Asturian||ast
AthapascanLanguages||ath
AustralianLanguages||aus
Avaric|av|ava
Avestan|ae|ave
Awadhi||awa
Aymara|ay|aym
Azerbaijani|az|aze
BandaLanguages||bad
BamilekeLanguages||bai
Bashkir|ba|bak
Baluchi||bal
Bambara|bm|bam
Balinese||ban
Basque|eu|baq
Basa||bas
BalticLanguages||bat
Beja||bej
Belarusian|be|bel
Bemba||bem
Bengali|bn|ben
BerberLanguages||ber
Bhojpuri||bho
BihariLanguages|bh|bih
Bikol||bik
Bini||bin
Bislama|bi|bis
Siksika||bla
BantuLanguages||bnt
Tibetan|bo|tib
Bosnian|bs|bos
Braj||bra
Breton|br|bre
BatakLanguages||btk
Buriat||bua
Buginese||bug
Bulgarian|bg|bul
Burmese|my|bur
Blin||byn
Caddo||cad
CentralAmericanIndianLanguages||cai
GalibiCarib||car
Catalan|ca|cat
CaucasianLanguages||cau
Cebuano||ceb
CelticLanguages||cel
Czech|cs|cze
Chamorro|ch|cha
Chibcha||chb
Chechen|ce|che
Chagatai||chg
Chinese|zh|chi
Chuukese||chk
Mari||chm
ChinookJargon||chn
Choctaw||cho
Chipewyan||chp
Cherokee||chr
ChurchSlavic|cu|chu
Chuvash|cv|chv
Cheyenne||chy
ChamicLanguages||cmc
Montenegrin||cnr
Coptic||cop
Cornish|kw|cor
Corsican|co|cos
CreolesAndPidginsEnglishBased||cpe
CreolesAndPidginsFrenchBased||cpf
CreolesAndPidginsPortugueseBased||cpp
Cree|cr|cre
CrimeanTatar||crh
CreolesAndPidgins||crp
Kashubian||csb
CushiticLanguages||cus
Welsh|cy|wel
Dakota||dak
Danish|da|dan
Dargwa||dar
LandDayakLanguages||day
Delaware||del
Slave||den
German|de|ger
Dogrib||dgr
Dinka||din
Divehi|dv|div
Dogri||doi
DravidianLanguages||dra
LowerSorbian||dsb
Duala||dua
DutchMiddle||dum
Dutch|nl|dut
Dyula||dyu
Dzongkha|dz|dzo
Efik||efi
EgyptianAncient||egy
Ekajuk||eka
GreekModern|el|gre
Elamite||elx
English|en|eng
EnglishMiddle||enm
Esperanto|eo|epo
Estonian|et|est
Ewe|ee|ewe
Ewondo||ewo
Fang||fan
Faroese|fo|fao
Persian|fa|per
Fanti||fat
Fijian|fj|fij
Filipino||fil
Finnish|fi|fin
FinnoUgrianLanguages||fiu
Fon||fon
French|fr|fre
FrenchMiddle||frm
FrenchOld||fro
NorthernFrisian||frr
EasternFrisian||frs
WesternFrisian|fy|fry
Fulah|ff|ful
Friulian||fur
Ga||gaa
Gayo||gay
Gbaya||gba
GermanicLanguages||gem
Georgian|ka|geo
Geez||gez
Gilbertese||gil
Gaelic|gd|gla
Irish|ga|gle
Galician|gl|glg
Manx|gv|glv
GermanMiddleHigh||gmh
GermanOldHigh||goh
Gondi||gon
Gorontalo||gor
Gothic||got
Grebo||grb
GreekAncient||grc
Guarani|gn|grn
SwissGerman||gsw
Gujarati|gu|guj
Gwichin||gwi
Haida||hai
Haitian|ht|hat
Hausa|ha|hau
Hawaiian||haw
Hebrew|he|heb
Herero|hz|her
Hiligaynon||hil
HimachaliLanguages||him
Hindi|hi|hin
Hittite||hit
Hmong||hmn
HiriMotu|ho|hmo
Croatian|hr|hrv
UpperSorbian||hsb
Hungarian|hu|hun
Hupa||hup
Iban||iba
Igbo|ig|ibo
Icelandic|is|ice
Ido|io|ido
SichuanYi|ii|iii
IjoLanguages||ijo
Inuktitut|iu|iku
Interlingue|ie|ile
Iloko||ilo
Interlingua|ia|ina
IndicLanguages||inc
Indonesian|id|ind
IndoEuropeanLanguages||ine
Ingush||inh
Inupiaq|ik|ipk
IranianLanguages||ira
IroquoianLanguages||iro
Italian|it|ita
Javanese|jv|jav
Lojban||jbo
Japanese|ja|jpn
JudeoPersian||jpr
JudeoArabic||jrb
KaraKalpak||kaa
Kabyle||kab
Kachin||kac
Kalaallisut|kl|kal
Kamba||kam
Kannada|kn|kan
KarenLanguages||kar
Kashmiri|ks|kas
Kanuri|kr|kau
Kawi||kaw
Kazakh|kk|kaz
Kabardian||kbd
Khasi||kha
KhoisanLanguages||khi
CentralKhmer|km|khm
Khotanese||kho
Kikuyu|ki|kik
Kinyarwanda|rw|kin
Kirghiz|ky|kir
Kimbundu||kmb
Konkani||kok
Komi|kv|kom
Kongo|kg|kon
Korean|ko|kor
Kosraean||kos
Kpelle||kpe
KarachayBalkar||krc
Karelian||krl
KruLanguages||kro
Kurukh||kru
Kuanyama|kj|kua
Kumyk||kum
Kurdish|ku|kur
Kutenai||kut
Ladino||lad
Lahnda||lah
Lamba||lam
Lao|lo|lao
Latin|la|lat
Latvian|lv|lav
Lezghian||lez
Limburgan|li|lim
Lingala|ln|lin
Lithuanian|lt|lit
Mongo||lol
Lozi||loz
Luxembourgish|lb|ltz
LubaLulua||lua
LubaKatanga|lu|lub
Ganda|lg|lug
Luiseno||lui
Lunda||lun
Luo||luo
Lushai||lus
Macedonian|mk|mac
Madurese||mad
Magahi||mag
Marshallese|mh|mah
Maithili||mai
Makasar||mak
Malayalam|ml|mal
Mandingo||man
AustronesianLanguages||map
Marathi|mr|mar
Masai||mas
Moksha||mdf
Mandar||mdr
Mende||men
